,r2,rmse,strain,closest_strain,distance,ith
148,-0.6131485763496576,1.2700978609342093,RP1,PR2,0.6194579,15.0
149,-0.35115675263697166,1.162392684352828,RP1,PH,0.62841098,16.0
150,-1.3030141620023707,1.5175685032321844,RP1,PP,0.64273024,17.0
151,-0.6561735140076692,1.2869240513750877,RP1,PK,0.65546402,18.0
152,-0.3049835254751445,1.1423587551531913,EA,SF1,0.0896435,0.0
153,-0.4310268884421231,1.1962553608833402,EA,RP1,0.08988529,1.0
154,-0.38267119910311576,1.1758704006407839,EA,RP2,0.09301077,2.0
155,-0.2931217866634024,1.1371551286712855,EA,LA,0.12510595,3.0
156,-0.16309373153824147,1.0784682339031804,EA,BI,0.13067939,4.0
157,-0.19906842937290148,1.0950198305843162,EA,CF,0.13781894,5.0
158,-0.06811717811411899,1.0334975462545222,EA,EL,0.14364686,6.0
159,-0.0934469823423163,1.045680152982889,EA,KA,0.15000505,7.0
160,0.15687638479559352,0.9182176295434542,EA,PAg1,0.20321483,8.0
161,-0.3786091358683319,1.174141872121225,EA,PAg2,0.20820978,9.0
162,-3.004747968569962,2.0011866401137968,EA,EC,0.20882322,10.0
163,0.22303459213673604,0.8814564129117578,EA,PAg3,0.25235219,11.0
164,0.015893064448356586,0.992021640666998,EA,PAl,0.28234777,12.0
165,-0.8979446155381028,1.3776591071589888,EA,PAr,0.66975524,13.0
166,-0.3287276923563831,1.1527045121610195,EA,PR1,0.68663466,14.0
167,-0.999226719577553,1.4139401400262863,EA,PR2,0.69568183,15.0
168,-0.5444152614520998,1.2427450508660687,EA,PH,0.70463491,16.0
169,-1.5309247298098518,1.5908880318268297,EA,PP,0.71895417,17.0
170,-1.0321838225630953,1.4255468503571203,EA,PK,0.73168795,18.0
171,0.11455124458649513,0.9409828666949818,SF1,RP1,0.08355011,0.0
172,0.12972578550465597,0.9328848881267963,SF1,RP2,0.08667559,1.0
173,-0.32506957629293565,1.1511166649358084,SF1,EA,0.0896435,2.0
174,0.05211663562563995,0.9735930178336121,SF1,LA,0.11877077,3.0
175,0.2298445587235901,0.8775850051569971,SF1,BI,0.12434421,4.0
176,-0.00798794244233525,1.0039860270154832,SF1,CF,0.13148376,5.0
177,0.13200284851217603,0.9316636471859505,SF1,EL,0.13731168,6.0
178,0.10745160948854438,0.9447477920119497,SF1,KA,0.14366987,7.0
179,-0.19031971819749116,1.0910177442175193,SF1,PAg1,0.19687965,8.0
180,-0.47967488324793783,1.2164188765585404,SF1,PAg2,0.2018746,9.0
181,-2.1998553836194796,1.7888139600359414,SF1,EC,0.20248804,10.0
182,-0.3015864739339622,1.1408709278152167,SF1,PAg3,0.24601701,11.0
183,0.11817363326754537,0.9390561041452508,SF1,PAl,0.27601259,12.0
184,-0.9389495857227548,1.392461699912339,SF1,PAr,0.66342006,13.0
185,-0.42024666037539493,1.1917410206816728,SF1,PR1,0.68029948,14.0
186,-1.3441937981150378,1.531076026236136,SF1,PR2,0.68934665,15.0
187,-0.912980977242821,1.383105555351007,SF1,PH,0.69829973,16.0
188,-1.9620279122432343,1.7210543025259923,SF1,PP,0.71261899,17.0
189,-1.1911103448099776,1.4802399619014397,SF1,PK,0.72535277,18.0
190,0.5657367450784232,0.6589865362217765,BI,CF,0.01606217,0.0
191,0.7192090992860796,0.5298970661495694,BI,KA,0.02824828,1.0
192,0.4106033193911117,0.767721746864636,BI,EL,0.04871739,2.0
193,0.25323433241452,0.8641560435392907,BI,LA,0.05234342,3.0
194,0.34885269864411317,0.8069369872275555,BI,RP1,0.05445546,4.0
195,0.39958567532450284,0.7748640685149227,BI,RP2,0.05758094,5.0
196,0.29444341425436005,0.839974157784418,BI,PAg1,0.10828536,6.0
197,-0.15449881874722604,1.0744760670890867,BI,PAg2,0.11328031,7.0
198,-1.5237967252526117,1.5886461925968933,BI,EC,0.11389375,8.0
199,0.36841899846924964,0.7947207066200984,BI,SF1,0.12434421,9.0
200,0.04490999036834464,0.9772870661334117,BI,EA,0.13067939,10.0
201,0.23016297394124108,0.8774035708035159,BI,PAg3,0.15742272,11.0
202,0.2960891579212269,0.8389939463898265,BI,PAl,0.1874183,12.0
203,-0.5813797717417615,1.2575292329571335,BI,PAr,0.57482577,13.0
204,-0.14086349510688678,1.0681121172924177,BI,PR1,0.59170519,14.0
205,-0.96244847264391,1.400874181589448,BI,PR2,0.60075236,15.0
206,-0.7220504467025486,1.3122691974981928,BI,PH,0.60970544,16.0
207,-1.6550556258742053,1.6294341428465922,BI,PP,0.6240247,17.0
208,-0.7308870279624027,1.3156317980204038,BI,PK,0.63675848,18.0
209,0.6700842848481396,0.5743828994249912,KA,CF,0.02688019,0.0
210,0.7344188255446858,0.5153456844248478,KA,BI,0.02824828,1.0
211,0.41673422847738706,0.7637183849578408,KA,EL,0.06804305,2.0
212,0.3128807393522922,0.8289265713244489,KA,LA,0.07166908,3.0
213,0.4562907419728329,0.7373664340252852,KA,RP1,0.07378112,4.0
214,0.467522073105916,0.7297108515666216,KA,RP2,0.0769066,5.0
215,0.29471644350351156,0.8398116196484121,KA,PAg1,0.12761102,6.0
216,-0.1957035301172645,1.093482295292094,KA,PAg2,0.13260597,7.0
217,-1.3357383014901707,1.528312239527697,KA,EC,0.13321941,8.0
218,0.29910989986582026,0.8371917941154114,KA,SF1,0.14366987,9.0
219,0.1328400416256753,0.9312142387089685,KA,EA,0.15000505,10.0
220,0.22472790495635242,0.8804953691210681,KA,PAg3,0.17674838,11.0
221,0.3605101199534896,0.7996811114728855,KA,PAl,0.20674396,12.0
222,-0.4306614481149398,1.1961026076867092,KA,PAr,0.59415143,13.0
223,-0.08624479366779014,1.0422306815997047,KA,PR1,0.61103085,14.0
224,-0.8482016334072593,1.3594857974275618,KA,PR2,0.62007802,15.0
225,-0.6349806607552833,1.27866362298897,KA,PH,0.6290311,16.0
226,-1.497647611529057,1.5803947644588832,KA,PP,0.64335036,17.0
227,-0.5532374429449551,1.2462894699647222,KA,PK,0.65608414,18.0
228,0.5304761929158754,0.6852180726484999,CF,BI,0.01606217,0.0
229,0.6283341224289517,0.6096440580954171,CF,KA,0.02688019,1.0
230,0.3058862891859272,0.833134869522381,CF,EL,0.05585694,2.0
231,0.2431554218620141,0.86996814777208,CF,LA,0.05948297,3.0
232,0.17711534166976617,0.9071299015743216,CF,RP1,0.06159501,4.0
233,0.2274431899359891,0.8789521090844563,CF,RP2,0.06472049,5.0
234,0.3200452310356655,0.8245936993236952,CF,PAg1,0.11542491,6.0
235,-0.33247834872115023,1.1543302598135197,CF,PAg2,0.12041986,7.0
236,-1.624377560839231,1.6199930743182898,CF,EC,0.1210333,8.0
237,0.11225810224469035,0.9422005613219026,CF,SF1,0.13148376,9.0
238,-0.05955555557250736,1.029347150174569,CF,EA,0.13781894,10.0
239,0.21238440412859017,0.8874770959700364,CF,PAg3,0.16456227,11.0
240,0.28265973473471306,0.8469594236238753,CF,PAl,0.19455785,12.0
241,-0.7103255730321694,1.3077941630976067,CF,PAr,0.58196532,13.0
242,-0.27481300378101214,1.129076172709801,CF,PR1,0.59884474,14.0
243,-0.9430012961327978,1.3939158138613696,CF,PR2,0.60789191,15.0
244,-0.8997780666776221,1.3783243691807918,CF,PH,0.61684499,16.0
245,-2.074757075923652,1.753498524642565,CF,PP,0.63116425,17.0
246,-1.0766990509321417,1.4410756576016888,CF,PK,0.64389803,18.0
247,0.4471638059740738,0.7435295515485112,PAg2,PAg1,0.03478945,0.0
248,0.49337148312665136,0.7117784183812736,PAg2,PAg3,0.08392681,1.0
249,0.29829953598662207,0.8376756317414138,PAg2,EL,0.08578902,2.0
250,0.17731412763559118,0.9070203263237294,PAg2,BI,0.11328031,3.0
251,0.21551233999501251,0.8857130799559101,PAg2,PAl,0.11392239,4.0
252,0.10273617053140283,0.9472401118346924,PAg2,CF,0.12041986,5.0
253,-1.1452379532416095,1.4646630852321005,PAg2,EC,0.1263473,6.0
254,0.1396759217431115,0.9275365643773225,PAg2,LA,0.12987381,7.0
255,0.01734950387647416,0.9912872924251211,PAg2,RP1,0.13198585,8.0
256,0.1047833616369801,0.9461588864260703,PAg2,KA,0.13260597,9.0
257,0.07934520094352582,0.9595075815523656,PAg2,RP2,0.13511133,10.0
258,0.10829794373604273,0.9442997703398854,PAg2,SF1,0.2018746,11.0
259,0.19672826849588387,0.8962542783742329,PAg2,EA,0.20820978,12.0
260,-0.3143372842595782,1.146445499908122,PAg2,PAr,0.54429032,13.0
261,-0.06068672467585312,1.0298964630854186,PAg2,PR1,0.56116974,14.0
262,-0.2357014379936475,1.111621085619395,PAg2,PR2,0.57021691,15.0
263,-0.10016224738392054,1.048886193723572,PAg2,PH,0.57916999,16.0
264,-0.7927841061258192,1.3389488810726944,PAg2,PP,0.59348925,17.0
265,-0.40548334685616516,1.1855308291462356,PAg2,PK,0.60622303,18.0
266,0.11650886028810192,0.9399420938078591,PAg1,PAg2,0.03478945,0.0
267,0.7428914289061821,0.5070587452098793,PAg1,PAg3,0.05981588,1.0
268,0.44511968467590657,0.744902889861555,PAg1,EL,0.08079407,2.0
269,0.3482413075739528,0.8073157327997806,PAg1,PAl,0.08981146,3.0
270,0.17488517700432082,0.9083583120089112,PAg1,BI,0.10828536,4.0
271,0.2693065480385214,0.8548060902692932,PAg1,CF,0.11542491,5.0
272,-2.4791311987531937,1.8652429329053049,PAg1,EC,0.12135235,6.0
273,0.3364193592663982,0.8146045916477526,PAg1,LA,0.12487886,7.0
274,0.1101243087321534,0.9433322274086954,PAg1,RP1,0.1269909,8.0
275,0.15982210184672074,0.9166121852524537,PAg1,KA,0.12761102,9.0
276,0.18723018418272708,0.9015374733294638,PAg1,RP2,0.13011638,10.0
277,-0.13253169391965947,1.0642047236879104,PAg1,SF1,0.19687965,11.0
278,0.20207306117651558,0.8932675628407685,PAg1,EA,0.20321483,12.0
279,-0.765564233306427,1.3287453605963904,PAg1,PAr,0.53929537,13.0
280,-0.20473840905818408,1.0976057621287278,PAg1,PR1,0.55617479,14.0
281,-0.7069814471126221,1.3065150007223876,PAg1,PR2,0.56522196,15.0
