,acc,mcc,Recall,Precision,strain,closest_strain,distance,ith
114,0.8575498575498576,0.6001458076372141,0.7789855072463768,0.6073446327683616,RP2,RP1,0.01034648,0.0
115,0.8051209103840683,0.4314834840338108,0.5944055944055944,0.5182926829268293,RP2,LA,0.0520075,1.0
116,0.8049469964664311,0.42653245814396434,0.5853658536585366,0.5169230769230769,RP2,BI,0.05758094,2.0
117,0.8092857142857143,0.38276411367765534,0.4716312056737589,0.5298804780876494,RP2,CF,0.06472049,3.0
118,0.8405898876404494,0.49396357609273556,0.5729166666666666,0.6133828996282528,RP2,EL,0.07054841,4.0
119,0.801762114537445,0.42059379295628924,0.5919117647058824,0.503125,RP2,KA,0.0769066,5.0
120,0.7575757575757576,0.36598201256117485,0.6205673758865248,0.43316831683168316,RP2,SF1,0.08667559,6.0
121,0.7018544935805991,0.16552409305006144,0.40425531914893614,0.3131868131868132,RP2,EA,0.09301077,7.0
122,0.8014184397163121,0.3665130385868045,0.47017543859649125,0.5095057034220533,RP2,PAg1,0.13011638,8.0
123,0.7086792452830188,0.21808224491516812,0.4758364312267658,0.34316353887399464,RP2,PAg2,0.13511133,9.0
124,0.6784172661870503,0.19597831917935063,0.5071428571428571,0.3148558758314856,RP2,EC,0.13572477,10.0
125,0.8021276595744681,0.3712087726507899,0.47719298245614034,0.5112781954887218,RP2,PAg3,0.17925374,11.0
126,0.7901498929336188,0.33504334640855793,0.45714285714285713,0.4740740740740741,RP2,PAl,0.20924932,12.0
127,0.7383966244725738,0.15966769547433993,0.3087719298245614,0.33460076045627374,RP2,PAr,0.59665679,13.0
128,0.7096541786743515,0.1544588118030447,0.3665480427046263,0.31402439024390244,RP2,PR1,0.61353621,14.0
129,0.7077464788732394,0.11581246010055699,0.31010452961672474,0.2908496732026144,RP2,PR2,0.62258338,15.0
130,0.6839038601602331,0.08508206921728732,0.3096085409252669,0.26605504587155965,RP2,PH,0.63153646,16.0
131,0.6213314244810307,-0.008810839336046754,0.2826855123674912,0.19704433497536947,RP2,PP,0.64585572,17.0
132,0.6812411847672779,0.06173719286509706,0.28222996515679444,0.24770642201834864,RP2,PK,0.6585895,18.0
133,0.8571428571428571,0.5985272072412832,0.603399433427762,0.7802197802197802,RP1,RP2,0.01034648,0.0
134,0.7858627858627859,0.4193207067408371,0.5311653116531165,0.5903614457831325,RP1,LA,0.04888202,1.0
135,0.789364640883978,0.42069918845282744,0.5289256198347108,0.588957055214724,RP1,BI,0.05445546,2.0
136,0.7775453277545328,0.3565758719064937,0.40437158469945356,0.5943775100401606,RP1,CF,0.06159501,3.0
137,0.8108665749656121,0.4644583044285295,0.5027027027027027,0.6714801444043321,RP1,EL,0.06742293,4.0
138,0.7858687815428983,0.4121970538588462,0.5185185185185185,0.5870967741935483,RP1,KA,0.07378112,5.0
139,0.7616361071932299,0.40074597361406794,0.5994475138121547,0.5292682926829269,RP1,SF1,0.08355011,6.0
140,0.6818181818181818,0.168378770520246,0.3873626373626374,0.3780160857908847,RP1,EA,0.08988529,7.0
141,0.7761607761607762,0.34550339274215097,0.39669421487603307,0.5806451612903226,RP1,PAg1,0.1269909,8.0
