carbon,BI,CF,EA,EC,EL,KA,LA,PAg1,PAg2,PAg3,PAl,PAr,PH,PK,PP,PR1,PR2,RP1,RP2,SF1
Trehalose,656.3308861,999.1380042,396.5438662,5085.966604,520.8941611,1277.856607,465.286272,1114.148365,838.9801455,743.2465447,755.2472702,2800.999554,-38.28768826,-1.762616153,-17.29654318,4314.168513,6169.103705,629.1606164,642.2448216,246.3390691
Cellobiose,704.8194281,860.8079015,519.8297984,3.1948053,520.2544446,1312.868357,538.3965756,1665.597062,24.65506664,1174.340108,767.340404,36.81011862,29.66117761,8.890585419,-1.61136202,22.13129545,-28.48206877,833.3921743,757.0494398,-6.269152666
Maltose,689.848118,1006.326765,247.9306112,471.9336485,665.114234,1016.014398,622.4560099,757.2328695,582.3696126,525.2354237,-16.36876273,11.12708866,-0.992426514,-22.86760913,1.542519826,18.97752095,-29.63951558,687.9619787,556.269717,287.3632751
Sucrose,11.60223343,-4.385189411,-2.247864228,8.7570777,548.6803869,8.461433748,423.5670679,1031.357254,854.9095487,686.7711897,859.305017,-5.568418522,6136.98336,-15.55328773,26.96193413,18.50185212,5644.208115,813.4376563,702.0357762,-14.55774654
Sucrose01,-1.644973949,-8.971865781,-7.906635001,5.9324149,37.17501106,-7.400368724,48.34146515,73.53730748,41.46740938,67.3341732,38.83647778,17.34656056,1004.026802,7.111947076,6.582333177,-0.801163814,393.5835826,58.94661914,52.79252193,-9.488470344
Lactose,244.2802774,1305.598027,362.5836142,11266.43325,24.46639909,1131.634903,40.31467463,-1.872062597,-7.070839856,15.95450389,658.7399065,9.723086709,1.703420467,-9.222377746,-18.81212424,-17.41425889,-31.57376752,695.8622257,561.865665,0.708898767
Raffinose,7.328165576,4.499490694,-0.61984822,11.20523815,514.0158805,1.663556757,587.969406,-2.160239188,-11.00980773,-5.387227892,117.9165668,0.751250416,-25.18742046,-1.786464337,4.966425979,-28.78168851,-28.62737291,675.1495177,406.0119235,262.325364
Melezitose,-4.458431391,8.151380171,6.602796004,3.43455535,11.58423869,4.49688524,19.69601711,-10.31875889,-6.283214276,13.64460335,-1.779635627,8.464931109,21.82358694,-3.415649221,7.650301465,-9.327507141,-23.97692756,7.216067591,11.6421528,2.334641764
Arabinogalactan,11.11081616,12.20133369,11.04892723,65.4913873,30.02015896,8.526779592,48.2560962,6.303480536,11.28260577,27.6431738,5.869899588,264.8860774,182.5503137,439.3079559,89.71205563,241.0238022,197.8463496,10.00470779,31.74708065,-7.403503893
Isoleucine,-12.40690643,-8.448159848,-5.154331948,3.2700765,0.393566165,-8.742457189,13.09696894,-10.77191519,-9.529312776,11.119319,-1.62489276,3095.88357,5235.337605,75.21109302,4408.658513,3321.567434,3314.091584,1.838943494,6.250705896,-14.39456023
Uridine,215.2086431,116.8676206,104.1949592,435.2423563,129.0743632,305.6284605,60.8387871,44.19359528,-3.156556459,45.20176091,24.26165224,222.9506901,-3.322145281,1907.344931,285.5963206,872.3108195,63.84613163,55.14891702,18.21134683,46.4084301
Mix,379.6626905,730.260376,223.0415495,3063.358857,434.3959966,672.5066576,564.9426392,851.9233505,561.0676133,533.7454896,787.6045154,2847.360446,5100.551611,5401.550267,2440.39255,2661.846855,3269.589672,528.5483799,433.5654569,284.0711776
Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
