Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
EC,PAg2,Glycerol,8168.607955,28391.64622,570.1050067,66.89270390000001,315.2827351707649,7432.507689247068,1108.0144049648736,-2786.313227145484,-0.6435193071495694,-0.04782846145587,-0.6309041661015486,-0.2015744697433372
CF,PAg1,Citrate,316.7517097,3156.968542,436.7200356,-34.056905428195144,-56.366048330409285,-1541.2519523501269,2693.6455479560072,-323.4601435791636,-0.7747391645761742,0.0463737318058709,-0.6443154712889336,-0.2220118218825399
CF,PAl,GlcNAc,1057.585394,2850.981265,104.8927423,264.4793611298202,84.01876685514867,2605.0300383812646,-701.6177193137013,3189.88327600666,-0.7747391645761742,0.0463737318058709,-0.5643511278633632,-0.250667083381068
PP,PR2,Glucose,104.172226,11872.83856,3865.33553,-39.00558579260587,1071.4511766509138,6993.702758671064,1677.726611654751,3077.1319408875897,1.7082373371805837,0.0228923513977414,1.6398755564620169,0.0056531287404293
PAg3,SF1,Glycerol,1178.417055,2940.487133,178.2126133,331.9681008918801,41.10910889915613,7432.507689247068,1108.0144049648736,-2786.313227145484,-0.5989515583467925,-0.2484610553238693,-0.7354472493977712,0.2471410927598533
RP1,SF1,Trehalose,629.1606164,2629.040045,246.3390691,353.07529241598417,91.44291802171574,2811.75714720898,-1159.308043177844,-1751.0798820505725,-0.796280534436652,0.1132262738115668,-0.7354472493977712,0.2471410927598533
PR1,PR2,Pyruvate,3732.636905,10570.15775,2778.361245,81.26703349126069,612.2823895495612,2948.202194327789,3875.839637567356,312.5572073877007,1.62148647467857,-0.002116133365859,1.6398755564620169,0.0056531287404293
PR1,PAg1,Isoleucine,3321.567434,15112.85929,-10.77191519,-71.84756589635992,-74.07517606168528,-1324.847017196924,4644.41825479104,-1250.099393062326,1.62148647467857,-0.002116133365859,-0.6443154712889336,-0.2220118218825399
EL,EA,Glucose,546.7639875,1969.101009,321.8210539,580.9075339056377,179.9947507555985,6993.702758671064,1677.726611654751,3077.1319408875897,-0.7347306548489613,-0.0440939376470185,-0.7286059140580324,0.2582533144674926
PR2,LA,Trehalose,6169.103705,15023.09028,465.286272,448.7132188116796,247.0880665296149,2811.75714720898,-1159.308043177844,-1751.0798820505725,1.6398755564620169,0.0056531287404293,-0.7710003090347234,0.0770753917642925
PH,SF1,Arabinogalactan,182.5503137,18808.50252,-7.403503893,-116.5268951946357,-21.601826033394445,-4581.420859279718,-1846.999838152701,-422.9077578641416,1.675692322398025,0.0107785747182994,-0.7354472493977712,0.2471410927598533
PAr,PP,Trehalose,2800.999554,8651.569596,-17.29654318,55.00477898709301,-92.66342511945686,2811.75714720898,-1159.308043177844,-1751.0798820505725,1.5779525775593926,-0.0142748062335358,1.7082373371805837,0.0228923513977414
EL,KA,Sorbitol,593.0493267,2466.528455,1260.994592,495.4906270399614,447.4187370145928,3025.109188570561,-4388.14781823144,-2140.1307152473296,-0.7347306548489613,-0.0440939376470185,-0.7612583622572914,0.0598887978357191
RP2,PK,Rhamnose,590.579833,19414.50867,19.34071801,316.8588901629413,-77.73362543860878,-4170.626376599495,-2666.583267557139,114.1443569589125,-0.7928518257374005,0.1173580381058817,1.734465090778677,0.0343645341896359
PK,SF1,Ribose,5321.278713,20209.49062,326.2710484,-23.55765234253636,31.196986585310587,-1694.9022807554345,-240.82647191593367,1168.1224639327693,1.734465090778677,0.0343645341896359,-0.7354472493977712,0.2471410927598533
PAl,PAg3,Galactose,324.5312202,2513.886583,778.6573408,105.70481834026168,325.65286976705187,8198.217860856765,-3472.529591636279,347.43177064176416,-0.5643511278633632,-0.250667083381068,-0.5989515583467925,-0.2484610553238693
