,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
24,Proline,0.7948717948717948,0.5871841250301055,0.7222222222222222,0.8125,0.731457800511509,0.46092706131174876,0.7886178861788617,0.5511363636363636,0.6010230179028133,0.20972408478098445,0.7777777777777778,0.1590909090909091,0.6675461741424802,0.3241956944949475,0.6825396825396826,0.5
25,Proline01,0.8985507246376812,0.33486169225693235,0.125,1.0,0.8602150537634409,0.014373746935227805,0.16666666666666666,0.020833333333333332,0.8575268817204301,-0.044926241117891716,0.0,0.0,0.7945205479452054,0.0028617813126911667,0.13157894736842105,0.10638297872340426
26,Pyruvate,0.865979381443299,0.22279505907294214,0.15384615384615385,0.5,0.8582474226804123,0.27822418667470694,0.4666666666666667,0.2641509433962264,0.865979381443299,0.127799450417766,1.0,0.018867924528301886,0.8601036269430051,0.16697063741004084,0.42857142857142855,0.11538461538461539
27,Pyruvate01,0.9425287356321839,0.3962029078465307,0.16666666666666666,1.0,0.8782383419689119,0.1651262895956654,0.6,0.0625,0.8601036269430051,-0.0473528470193148,0.0,0.0,0.8355437665782494,0.21822494789148422,0.32558139534883723,0.2978723404255319
28,Raffinose,0.8780487804878049,0.7112286812947276,0.8636363636363636,0.7307692307692307,0.7539267015706806,0.38010428070601976,0.8611111111111112,0.25833333333333336,0.6649214659685864,-0.017418541822067826,0.2777777777777778,0.041666666666666664,0.6445086705202312,-0.014860414714653568,0.29411764705882354,0.09174311926605505
29,Rhamnose,0.8732394366197183,0.7490836893340914,0.6785714285714286,1.0,0.8160621761658031,0.6056878464467493,0.926829268292683,0.5390070921985816,0.7590673575129534,0.4604938817387903,0.7857142857142857,0.46808510638297873,0.75,0.4415480724126042,0.7,0.55
30,Ribose,0.8688524590163934,0.6846013027566863,0.6842105263157895,0.8666666666666667,0.8283378746594006,0.5214081836009057,0.9459459459459459,0.3645833333333333,0.8119891008174387,0.4609843155664937,0.7547169811320755,0.4166666666666667,0.7926136363636364,0.47288055747143587,0.5918367346938775,0.6373626373626373
31,Serine,0.7341772151898734,0.4559070699655872,0.5294117647058824,0.782608695652174,0.5879396984924623,0.17904627943995638,0.8421052631578947,0.0903954802259887,0.5552763819095478,0.0,0.0,0.0,0.6086956521739131,0.1987498972516958,0.5695364238410596,0.4942528735632184
32,Sorbitol,0.8831168831168831,0.7494734141015893,0.7142857142857143,0.9523809523809523,0.9168831168831169,0.8116291452430499,0.9893617021276596,0.75,0.7012987012987013,0.20160662834991513,0.7142857142857143,0.12096774193548387,0.6587301587301587,0.08928810285803253,0.41818181818181815,0.19166666666666668
33,Succinate,0.75,0.4414870226743488,0.44,0.7857142857142857,0.7583547557840618,0.4889896160888978,0.7739130434782608,0.5668789808917197,0.7326478149100257,0.431646219686881,0.7264957264957265,0.5414012738853503,0.7712765957446809,0.5177878898161153,0.7407407407407407,0.6622516556291391
34,Sucrose,0.9213483146067416,0.8306277636087533,0.90625,0.8787878787878788,0.8793969849246231,0.7195802448940574,0.8796296296296297,0.7307692307692307,0.5804020100502513,-0.06985812245116282,0.2597402597402597,0.15384615384615385,0.4671717171717172,-0.11315215528688201,0.26857142857142857,0.36153846153846153
35,Sucrose01,0.8780487804878049,0.11634074860155313,0.125,0.25,0.8161209068010076,0.03845646529095331,0.2857142857142857,0.02857142857142857,0.8236775818639799,0.12180087947213379,0.5,0.05714285714285714,0.6161616161616161,0.07631202873276355,0.2152777777777778,0.44285714285714284
36,Trehalose,0.8873239436619719,0.6024642613790866,0.6153846153846154,0.7272727272727273,0.9368686868686869,0.7733564686584494,0.9423076923076923,0.6901408450704225,0.8232323232323232,0.10764998120058858,1.0,0.014084507042253521,0.6981627296587927,0.2382898447943108,0.3064516129032258,0.5671641791044776
37,Uridine,0.7910447761194029,0.6114903622966997,0.6470588235294118,0.9166666666666666,0.5314861460957179,0.11361476761529718,0.7857142857142857,0.05670103092783505,0.5113350125944585,0.0,0.0,0.0,0.5221932114882507,0.034628752673150076,0.5319148936170213,0.13440860215053763
38,Xylose,0.8666666666666667,0.6880687491608589,0.8181818181818182,0.75,0.856020942408377,0.622843621161307,0.7752808988764045,0.6634615384615384,0.8141361256544503,0.5008522840703491,0.7088607594936709,0.5384615384615384,0.7926136363636364,0.47288055747143587,0.6373626373626373,0.5918367346938775
