,labeledStrain,env,monoGrow24
378,PAg3,Glycerol01,73.21267778414256
379,PAg3,Mannitol,352.3200627741893
380,PAg3,Sorbitol,21.67487600886932
381,PAg3,Alanine,21.558153031388546
382,PAg3,Serine,16.545179313360563
383,PAg3,Proline,22.38079390927544
384,PAg3,Proline01,8.044447694098267
385,PAg3,Glutamine,21.222157985721992
386,PAg3,Arginine,6.333452900924043
387,PAg3,Trehalose,311.0672203421882
388,PAg3,Cellobiose,203.6280657495903
389,PAg3,Maltose,90.9582053475848
390,PAg3,Sucrose,448.5530145164283
391,PAg3,Sucrose01,46.852370383078316
392,PAg3,Lactose,-4.51234571618204
393,PAg3,Raffinose,0.06255583492486494
394,PAg3,Melezitose,7.0862803826953495
395,PAg3,Arabinogalactan,10.63901485728502
396,PAg3,Isoleucine,-2.183164581069832
397,PAg3,Uridine,8.877140297572963
398,PAg3,Mix,363.7459363370293
399,PAg3,Water,4.592180846831639
400,PAl,ArabinoseD,-23.20377536654405
401,PAl,ArabinoseL,120.9178289559352
402,PAl,Xylose,27.700284088109584
403,PAl,Ribose,75.49254225296306
404,PAl,Rhamnose,20.222767023358983
405,PAl,Fructose,152.34932012535455
406,PAl,Galactose,105.70481834026168
407,PAl,Glucose,219.58128310875873
408,PAl,Glucose01,21.6961554376727
409,PAl,Mannose,79.2026619371237
410,PAl,GlcNAc,84.01876685514867
411,PAl,Acetate,-29.10466017871772
412,PAl,Pyruvate,-24.33454555448111
413,PAl,Pyruvate01,-22.24051501925078
414,PAl,Fumarate,64.67464486105665
415,PAl,Succinate,23.130187606867143
416,PAl,Citrate,-17.511412938181024
417,PAl,Glycerol,82.8506189375463
418,PAl,Glycerol01,42.579663629413524
419,PAl,Mannitol,131.17881643816224
420,PAl,Sorbitol,63.61307185886688
421,PAl,Alanine,-15.290861866826274
422,PAl,Serine,-18.627507291095526
423,PAl,Proline,-5.156436573938778
424,PAl,Proline01,-14.210515864088734
425,PAl,Glutamine,10.484318066355966
426,PAl,Arginine,-16.241958532500462
427,PAl,Trehalose,75.6550668715289
428,PAl,Cellobiose,-10.053131967664058
429,PAl,Maltose,-23.71401487435435
430,PAl,Sucrose,150.44031372541622
431,PAl,Sucrose01,22.787102043072075
432,PAl,Lactose,-16.58275010423938
433,PAl,Raffinose,10.076933895662364
434,PAl,Melezitose,-30.740654699680928
435,PAl,Arabinogalactan,-4.90414396802862
436,PAl,Isoleucine,-14.800705020175544
437,PAl,Uridine,-15.22888085815839
438,PAl,Mix,233.76114045077225
439,PAl,Water,-10.287334263356456
440,PAr,ArabinoseD,-97.8208829972873
441,PAr,ArabinoseL,14.002234220766466
442,PAr,Xylose,-70.63842751327331
443,PAr,Ribose,-36.25147393828399
444,PAr,Rhamnose,-96.72243701639843
445,PAr,Fructose,-25.679491515518517
446,PAr,Galactose,27.95257663005361
447,PAr,Glucose,413.40745211245917
448,PAr,Glucose01,91.10209886178495
449,PAr,Mannose,4.086764221235853
450,PAr,GlcNAc,-49.33398749232617
451,PAr,Acetate,-86.33187643657061
452,PAr,Pyruvate,236.07833432478046
453,PAr,Pyruvate01,40.164019525429694
454,PAr,Fumarate,529.3970231407609
455,PAr,Succinate,417.32390153072953
456,PAr,Citrate,368.3068081405984
457,PAr,Glycerol,170.22838510249446
458,PAr,Glycerol01,221.21885657518996
459,PAr,Mannitol,6.696767406106916
460,PAr,Sorbitol,306.9573227267548
461,PAr,Alanine,21.860458784025578
462,PAr,Serine,80.49040490248252
463,PAr,Proline,120.70659340471
464,PAr,Proline01,-0.8768367649711308
465,PAr,Glutamine,880.3924532359441
466,PAr,Arginine,64.9947719636849
467,PAr,Trehalose,55.00477898709301
468,PAr,Cellobiose,-87.95675675920107
469,PAr,Maltose,-93.63072356544797
470,PAr,Sucrose,-107.20217821493202
471,PAr,Sucrose01,-98.06419756615196
472,PAr,Lactose,-92.25909807497145
473,PAr,Raffinose,-104.66779419710258
474,PAr,Melezitose,-93.19201158608894
475,PAr,Arabinogalactan,15.42104811062734
476,PAr,Isoleucine,-76.08175276587191
477,PAr,Uridine,-92.53539790150795
478,PAr,Mix,814.3252126023007
479,PAr,Water,-100.29643691865179
480,PH,ArabinoseD,-170.45835446348963
481,PH,ArabinoseL,-161.1114819621199
482,PH,Xylose,-165.6276751823323
483,PH,Ribose,-112.9673663424345
484,PH,Rhamnose,-162.58606335150375
485,PH,Fructose,-134.32802803587006
486,PH,Galactose,-134.4774009582627
487,PH,Glucose,33.27312473548079
488,PH,Glucose01,-119.389991926496
489,PH,Mannose,-89.91332705256855
490,PH,GlcNAc,-90.08017356630329
491,PH,Acetate,-98.57586985217459
492,PH,Pyruvate,68.1340783119042
493,PH,Pyruvate01,-109.49276704489851
494,PH,Fumarate,-33.23597444480072
495,PH,Succinate,1293.6765444151092
496,PH,Citrate,97.53215760061869
497,PH,Glycerol,89.61622976680212
498,PH,Glycerol01,72.9097066247705
499,PH,Mannitol,103.7365627575083
500,PH,Sorbitol,-174.0927969742204
501,PH,Alanine,-48.71976416660857
502,PH,Serine,-117.54762864447433
503,PH,Proline,-116.57440644938913
504,PH,Proline01,-56.44128257652847
505,PH,Glutamine,1053.7191427937862
506,PH,Arginine,-45.70098169820801
507,PH,Trehalose,-189.08749760413696
508,PH,Cellobiose,-168.18881902456815
509,PH,Maltose,-166.41137555370256
510,PH,Sucrose,121.44999713910612
511,PH,Sucrose01,-70.79617360258591
512,PH,Lactose,-170.58843889918126
513,PH,Raffinose,-216.80121521656517
514,PH,Melezitose,-162.09864241251887
515,PH,Arabinogalactan,-116.5268951946357
516,PH,Isoleucine,-138.35832170012495
517,PH,Uridine,-166.7262626008511
518,PH,Mix,332.2920053659184
519,PH,Water,-150.97056403694455
520,PK,ArabinoseD,-91.71010080971735
521,PK,ArabinoseL,138.86570756698234
522,PK,Xylose,24.58221556083356
523,PK,Ribose,-23.557652342536358
524,PK,Rhamnose,-77.73362543860878
525,PK,Fructose,-36.003105449814484
526,PK,Galactose,45.1436956854285
527,PK,Glucose,662.6402964309823
528,PK,Glucose01,114.65294915489004
529,PK,Mannose,5.100929419308045
530,PK,GlcNAc,-70.14931242340685
531,PK,Acetate,-72.42289436203862
532,PK,Pyruvate,1222.873686122816
533,PK,Pyruvate01,78.54519661804
534,PK,Fumarate,1422.5420861809985
535,PK,Succinate,1292.322811487511
536,PK,Citrate,938.9173848772388
537,PK,Glycerol,-32.97329590541551
538,PK,Glycerol01,-44.66129917838032
539,PK,Mannitol,117.24104641518178
540,PK,Sorbitol,-62.77195558093752
541,PK,Alanine,-33.46794396126336
542,PK,Serine,-84.92431904996522
543,PK,Proline,67.4922898022487
544,PK,Proline01,45.14972527535531
545,PK,Glutamine,-44.30692348972434
546,PK,Arginine,-45.86328276454117
547,PK,Trehalose,-89.37015482381548
548,PK,Cellobiose,-83.95587922711843
549,PK,Maltose,-91.71847371521915
550,PK,Sucrose,-92.00765766832991
551,PK,Sucrose01,-89.5511662660582
552,PK,Lactose,-89.82719026142138
553,PK,Raffinose,-89.61893488053511
554,PK,Melezitose,-81.84174308229409
555,PK,Arabinogalactan,73.69363563026445
556,PK,Isoleucine,-75.21726121409517
557,PK,Uridine,-66.27686172223082
558,PK,Mix,1663.9342346447531
559,PK,Water,-91.73097560975599
560,PP,ArabinoseD,-83.61422954532544
561,PP,ArabinoseL,-87.51892997174765
562,PP,Xylose,-87.52472419699416
563,PP,Ribose,-85.78027721707781
564,PP,Rhamnose,-84.99353256421568
