,labeledStrain,env,monoGrow
636,EL,Isoleucine,0.3935661645488153
637,EL,Uridine,127.0339283113492
638,EL,Mix,416.6610373451053
639,EL,Water,0.0
640,PK,ArabinoseD,20.8698093175841
641,PK,ArabinoseL,6884.171975598273
642,PK,Xylose,6247.327628682178
643,PK,Ribose,5155.571338043134
644,PK,Rhamnose,19.340718013788432
645,PK,Fructose,4369.451625759522
646,PK,Galactose,5162.716981447128
647,PK,Glucose,6356.456219546425
648,PK,Glucose01,853.7567848240772
649,PK,Mannose,1264.5480266902184
650,PK,GlcNAc,76.69164427957776
651,PK,Acetate,2433.858753682654
652,PK,Pyruvate,5656.94807204364
653,PK,Pyruvate01,955.7720497773064
654,PK,Fumarate,3147.6355204709484
655,PK,Succinate,3739.399274091371
656,PK,Citrate,2643.062333535108
657,PK,Glycerol,3302.0035266734853
658,PK,Glycerol01,1257.4096517084654
659,PK,Mannitol,5305.910578291377
660,PK,Sorbitol,76.55161215583314
661,PK,Alanine,3328.220685580261
662,PK,Serine,-8.222807829426756
663,PK,Proline,7612.040342799271
664,PK,Proline01,1143.2342540645532
665,PK,Glutamine,3842.5498700553994
666,PK,Arginine,3002.7724813162886
667,PK,Trehalose,-1.7626161529863111
668,PK,Cellobiose,8.890585419346166
669,PK,Maltose,-22.867609134282134
670,PK,Sucrose,-15.553287734851097
671,PK,Sucrose01,7.111947076133902
672,PK,Lactose,-9.222377745505923
673,PK,Raffinose,0.9696466527728944
674,PK,Melezitose,-3.415649220838418
675,PK,Arabinogalactan,446.1190204708033
676,PK,Isoleucine,72.55145082015645
677,PK,Uridine,1907.3449313602823
678,PK,Mix,5416.44712642884
679,PK,Water,0.0
680,KA,ArabinoseD,7.211398703050349
681,KA,ArabinoseL,1350.362572904015
682,KA,Xylose,1361.9675246012011
683,KA,Ribose,1254.3389122150768
684,KA,Rhamnose,642.8625008313287
685,KA,Fructose,1052.4384815109884
686,KA,Galactose,1071.745313262712
687,KA,Glucose,944.2526973835658
688,KA,Glucose01,59.74637937427849
689,KA,Mannose,1211.5323018844297
690,KA,GlcNAc,861.7847562681147
691,KA,Acetate,99.88139204757783
692,KA,Pyruvate,556.4627875095689
693,KA,Pyruvate01,59.19811424438831
694,KA,Fumarate,7.905703323379953
695,KA,Succinate,0.6560345132076009
696,KA,Citrate,343.78508084467785
697,KA,Glycerol,340.0695498678808
698,KA,Glycerol01,103.83949428479286
699,KA,Mannitol,1071.940616935898
700,KA,Sorbitol,1274.5825089429002
701,KA,Alanine,722.5939683034445
702,KA,Serine,79.2688648676882
703,KA,Proline,217.1583561557643
704,KA,Proline01,125.91547115300943
705,KA,Glutamine,779.2361726035044
706,KA,Arginine,8.432935012235248
707,KA,Trehalose,1151.2809001316234
708,KA,Cellobiose,1325.1198816108918
709,KA,Maltose,1034.480950454491
710,KA,Sucrose,7.640754557094851
