labeledStrain,env,monoGrow
PR2,Isoleucine,3314.091584
PR2,Uridine,63.84613163
PR2,Mix,3269.589672
PR2,Water,0
LA,ArabinoseD,3.574968719
LA,ArabinoseL,574.887109
LA,Xylose,554.3643898
LA,Ribose,661.2274216
LA,Rhamnose,528.6002891
LA,Fructose,562.9917568
LA,Galactose,688.2578243
LA,Glucose,431.7958899
LA,Glucose01,53.82099056
LA,Mannose,680.7820772
LA,GlcNAc,385.9191478
LA,Acetate,76.19412972
LA,Pyruvate,425.2697071
LA,Pyruvate01,36.09633272
LA,Fumarate,65.4905892
LA,Succinate,36.72364084
LA,Citrate,301.5365524
LA,Glycerol,366.4673804
LA,Glycerol01,86.64175778
LA,Mannitol,483.3238514
LA,Sorbitol,7.810705312
LA,Alanine,662.5164511
LA,Serine,49.04281062
LA,Proline,24.510709
LA,Proline01,31.07628239
LA,Glutamine,867.6953344
LA,Arginine,8.991337954
LA,Trehalose,465.286272
LA,Cellobiose,538.3965756
LA,Maltose,622.4560099
LA,Sucrose,423.5670679
LA,Sucrose01,48.34146515
LA,Lactose,40.31467463
LA,Raffinose,587.969406
LA,Melezitose,19.69601711
LA,Arabinogalactan,48.2560962
LA,Isoleucine,13.09696894
LA,Uridine,60.8387871
LA,Mix,564.9426392
LA,Water,0
BI,ArabinoseD,-7.381439851
BI,ArabinoseL,678.1262155
BI,Xylose,809.4465804
BI,Ribose,741.1538187
BI,Rhamnose,399.6016922
BI,Fructose,731.827544
BI,Galactose,798.5540114
BI,Glucose,11.60312764
BI,Glucose01,45.76606953
BI,Mannose,774.3794122
BI,GlcNAc,708.0546074
BI,Acetate,17.78568972
BI,Pyruvate,451.2014871
BI,Pyruvate01,52.76208517
BI,Fumarate,33.21569788
BI,Succinate,-1.610718881
BI,Citrate,128.9744481
BI,Glycerol,225.0470601
BI,Glycerol01,81.06792322
BI,Mannitol,608.9108701
BI,Sorbitol,781.7333831
BI,Alanine,717.5358541
BI,Serine,14.136979
BI,Proline,149.0675036
BI,Proline01,90.25058066
BI,Glutamine,77.82087695
BI,Arginine,-1.406296569
BI,Trehalose,656.3308861
BI,Cellobiose,704.8194281
BI,Maltose,689.848118
BI,Sucrose,11.60223343
BI,Sucrose01,-1.644973949
BI,Lactose,244.2802774
BI,Raffinose,7.328165576
BI,Melezitose,-4.458431391
BI,Arabinogalactan,11.11081616
BI,Isoleucine,-12.40690643
BI,Uridine,215.2086431
BI,Mix,379.6626905
BI,Water,0
RP2,ArabinoseD,24.72618636
RP2,ArabinoseL,512.1652468
RP2,Xylose,720.8667543
RP2,Ribose,586.3287256
RP2,Rhamnose,590.579833
RP2,Fructose,608.7316027
RP2,Galactose,592.200481
RP2,Glucose,494.1570613
RP2,Glucose01,56.37414362
RP2,Mannose,587.6650455
RP2,GlcNAc,720.235397
RP2,Acetate,224.9884616
RP2,Pyruvate,422.2508858
RP2,Pyruvate01,50.57279165
RP2,Fumarate,13.72639478
RP2,Succinate,12.05444505
RP2,Citrate,258.7740448
RP2,Glycerol,703.8481212
RP2,Glycerol01,76.03758351
RP2,Mannitol,431.4496891
RP2,Sorbitol,578.5580697
RP2,Alanine,544.4370566
RP2,Serine,10.01480759
RP2,Proline,77.45389633
RP2,Proline01,105.2899547
RP2,Glutamine,56.98047925
RP2,Arginine,16.85060245
RP2,Trehalose,642.2448216
RP2,Cellobiose,757.0494398
RP2,Maltose,556.269717
RP2,Sucrose,702.0357762
RP2,Sucrose01,52.79252193
RP2,Lactose,561.865665
RP2,Raffinose,406.0119235
RP2,Melezitose,11.6421528
RP2,Arabinogalactan,31.74708065
RP2,Isoleucine,6.250705896
RP2,Uridine,18.21134683
RP2,Mix,433.5654569
RP2,Water,0
RP1,ArabinoseD,4.340991344
RP1,ArabinoseL,808.642218
RP1,Xylose,847.5493632
RP1,Ribose,735.2163619
RP1,Rhamnose,797.4163683
RP1,Fructose,809.1242417
RP1,Galactose,810.3343593
RP1,Glucose,620.3808947
RP1,Glucose01,48.26435576
RP1,Mannose,801.8859545
RP1,GlcNAc,879.5134636
RP1,Acetate,374.4295474
RP1,Pyruvate,476.2049351
RP1,Pyruvate01,49.14971912
RP1,Fumarate,3.551282363
RP1,Succinate,19.52031243
RP1,Citrate,354.687095
RP1,Glycerol,754.5151943
RP1,Glycerol01,89.41013062
RP1,Mannitol,851.6870391
RP1,Sorbitol,802.154976
RP1,Alanine,945.3074571
RP1,Serine,16.1364286
RP1,Proline,71.61638495
RP1,Proline01,111.9319932
RP1,Glutamine,139.7204605
RP1,Arginine,51.58961739
RP1,Trehalose,629.1606164
RP1,Cellobiose,833.3921743
RP1,Maltose,687.9619787
RP1,Sucrose,813.4376563
RP1,Sucrose01,58.94661914
RP1,Lactose,695.8622257
RP1,Raffinose,675.1495177
RP1,Melezitose,7.216067591
RP1,Arabinogalactan,10.00470779
RP1,Isoleucine,1.838943494
RP1,Uridine,55.14891702
RP1,Mix,528.5483799
RP1,Water,0
EL,ArabinoseD,4.188936172
EL,ArabinoseL,641.4424304
