,Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
9031,CF,CF,Proline01,146.4287716,0.0,146.4287716,-33.44937320665906,-33.44937320665906,-3596.306299453788,-268.0285673898953,262.2626062599346,-271.902723882693,-0.7747391645761742,0.0463737318058709,-0.7747391645761742,0.0463737318058709
14326,BI,PH,Sorbitol,781.7333831,18306.29082,115.9222315,284.41233552818886,-174.0927969742204,3025.109188570561,-4388.14781823144,-1239.609695631989,-2140.1307152473296,-0.7807537139600523,0.0380225394363147,1.675692322398025,0.0107785747182994
14385,CF,PH,Pyruvate01,45.34091897,17670.47326,1050.597359,-18.559137821021864,-109.49276704489851,-3806.052493422824,-973.2049868701582,289.13287850378003,-91.69461650408572,-0.7747391645761742,0.0463737318058709,1.675692322398025,0.0107785747182994
7772,PP,BI,Alanine,3907.982093,11737.90345,717.5358541,309.4180475989914,-34.7826426627247,741.1054852498066,4315.9873925711045,-271.77119564630624,13.794514649971838,1.7082373371805837,0.0228923513977414,-0.7807537139600523,0.0380225394363147
14699,PP,PH,Proline,3430.504464,12920.1853,6482.572831,974.527541334245,-116.57440644938912,3883.9113678546114,9886.057996490275,1037.753729077042,-486.5582940690135,1.7082373371805837,0.0228923513977414,1.675692322398025,0.0107785747182994
6020,PK,RP1,Glycerol,3179.974419,18905.07551,754.5151943,-32.97329590541551,173.4851563275635,7432.507689247068,1108.0144049648736,-1882.1951300912435,-2786.313227145484,1.734465090778677,0.0343645341896359,-0.796280534436652,0.1132262738115668
6161,PH,RP1,Ribose,1044.165182,17563.37694,735.2163619,-112.9673663424345,285.8728272848353,-1694.9022807554345,-240.82647191593367,4172.71385273874,1168.1224639327693,1.675692322398025,0.0107785747182994,-0.796280534436652,0.1132262738115668
9700,BI,EC,Mannose,774.3794122,28069.48199,8895.146004,332.13027578756567,191.24125450000008,4229.791528385384,-4490.077254606668,-1384.776616013011,893.8952593094275,-0.7807537139600523,0.0380225394363147,-0.6435193071495694,-0.04782846145587
14415,EC,PH,Rhamnose,658.9221406,29008.51306,47.00770465,-29.882237000000032,-162.58606335150375,-4170.626376599495,-2666.583267557139,55.821384556513785,114.1443569589125,-0.6435193071495694,-0.04782846145587,1.675692322398025,0.0107785747182994
1802,RP1,PAg1,Glucose,620.3808947,2574.004683,731.3316399,397.31292753794446,664.2884428241076,6993.702758671064,1677.726611654751,660.7704706046808,3077.1319408875897,-0.796280534436652,0.1132262738115668,-0.6443154712889336,-0.2220118218825399
2358,PAg2,PAg3,GlcNAc,984.150889,1847.043778,1042.324145,314.0824461026133,270.1568337406705,2605.0300383812646,-701.6177193137013,-4124.15408876552,3189.88327600666,-0.6309041661015486,-0.2015744697433372,-0.5989515583467925,-0.2484610553238693
104,PAg1,PAl,Cellobiose,1665.597062,3427.532393,767.340404,-20.767267326554588,-10.053131967664058,-4540.841100752734,-2411.5148155820675,194.30540693002573,224.30168399432355,-0.6443154712889336,-0.2220118218825399,-0.5643511278633632,-0.250667083381068
1265,EA,PAg2,Glycerol,1060.502384,2244.710436,570.1050067,182.01385299517145,315.2827351707649,7432.507689247068,1108.0144049648736,-1882.1951300912435,-2786.313227145484,-0.7286059140580324,0.2582533144674926,-0.6309041661015486,-0.2015744697433372
8636,PAg2,CF,Alanine,338.0499534,3152.420165,975.3813272,-19.88009041513544,-33.824096157596266,741.1054852498066,4315.9873925711045,-271.77119564630624,13.794514649971838,-0.6309041661015486,-0.2015744697433372,-0.7747391645761742,0.0463737318058709
4328,CF,EL,Fumarate,5.761601496,2567.141895,269.7371814,-43.83158487691936,-30.252725626002075,-1109.7987677274416,3536.582028637915,422.8306259242859,-922.8124517836892,-0.7747391645761742,0.0463737318058709,-0.7347306548489613,-0.0440939376470185
3161,PAg2,LA,Trehalose,838.9801455,1908.824628,465.286272,450.3560337944388,247.0880665296149,2811.75714720898,-1159.308043177844,-3721.7069147277375,-1751.0798820505725,-0.6309041661015486,-0.2015744697433372,-0.7710003090347234,0.0770753917642925
957,LA,PAg2,Sucrose,423.5670679,1908.824628,854.9095487,193.79305105293804,599.8065591527396,-2689.207894007573,2758.239159096253,-4003.379981210841,4360.020146252447,-0.7710003090347234,0.0770753917642925,-0.6309041661015486,-0.2015744697433372
12472,PAg2,PAr,Sorbitol,-1.069269825,12044.20878,3127.326727,-4.761089522898146,306.9573227267548,3025.109188570561,-4388.14781823144,-1239.609695631989,-2140.1307152473296,-0.6309041661015486,-0.2015744697433372,1.5779525775593926,-0.0142748062335358
8606,PAl,CF,Cellobiose,767.340404,2850.981265,860.8079015,-10.053131967664058,159.89686211725177,-4540.841100752734,-2411.5148155820675,194.30540693002573,224.30168399432355,-0.5643511278633632,-0.250667083381068,-0.7747391645761742,0.0463737318058709
12721,RP1,PAr,Arabinogalactan,10.00470779,12292.86491,264.8860774,-37.44241167844177,15.42104811062734,-4581.420859279718,-1846.999838152701,319.7856159200177,-422.9077578641416,-0.796280534436652,0.1132262738115668,1.5779525775593926,-0.0142748062335358
4976,RP1,RP2,Sucrose01,58.94661914,956.137396,52.79252193,-20.984449613939205,41.15677119694692,-4757.977930250542,-1619.4842856891546,-299.77172516681986,276.64167543083903,-0.796280534436652,0.1132262738115668,-0.7928518257374005,0.1173580381058817
1299,PK,PAg2,Pyruvate,5656.948072,18894.77465,994.957644,1222.873686122816,16.653606139226323,2948.202194327789,3875.839637567356,1373.0798365124526,312.5572073877007,1.734465090778677,0.0343645341896359,-0.6309041661015486,-0.2015744697433372
7542,EA,BI,Maltose,247.9306112,2084.359726,689.848118,-19.47615669966968,5.309813984579819,-4304.747933170012,-2670.2739647436097,135.29734897242852,85.30821748610386,-0.7286059140580324,0.2582533144674926,-0.7807537139600523,0.0380225394363147
5918,CF,RP1,Lactose,1305.598027,2307.839796,695.8622257,-36.18178028468708,214.45640665204144,4030.8857189822543,-8472.949601319571,-1673.018014133581,822.9364983016548,-0.7747391645761742,0.0463737318058709,-0.796280534436652,0.1132262738115668
5953,EC,RP1,Maltose,471.9336485,27420.06137,687.9619787,-40.85159475,413.0078100117497,-4304.747933170012,-2670.2739647436097,135.29734897242852,85.30821748610386,-0.6435193071495694,-0.04782846145587,-0.796280534436652,0.1132262738115668
10394,RP1,EA,Isoleucine,1.838943494,2586.492627,-5.154331948,-52.97582343561192,-30.552676518643462,-1324.847017196924,4644.41825479104,-3265.222345649704,-1250.099393062326,-0.796280534436652,0.1132262738115668,-0.7286059140580324,0.2582533144674926
3645,PK,LA,ArabinoseD,20.86980932,19249.56437,3.574968719,-91.71010080971736,-5.1875928685695945,-5001.488171724186,-2267.6661119247383,146.25780552009113,-359.92321590704427,1.734465090778677,0.0343645341896359,-0.7710003090347234,0.0770753917642925
7334,SF1,BI,Mannitol,220.7299314,1824.987984,608.9108701,77.44171199172627,290.97650950482694,4703.716698953833,-39.59385830218482,2060.655140294677,1986.6680726624932,-0.7354472493977712,0.2471410927598533,-0.7807537139600523,0.0380225394363147
5724,RP2,RP1,Sucrose,702.0357762,956.137396,813.4376563,529.3719424765336,396.2206250802466,-2689.207894007573,2758.239159096253,-4003.379981210841,4360.020146252447,-0.7928518257374005,0.1173580381058817,-0.796280534436652,0.1132262738115668
10641,PK,EA,Rhamnose,19.34071801,19668.42264,8.604368989,-77.73362543860878,-20.39353217726295,-4170.626376599495,-2666.583267557139,55.821384556513785,114.1443569589125,1.734465090778677,0.0343645341896359,-0.7286059140580324,0.2582533144674926
626,PAr,PAl,Ribose,353.8672437,12431.63287,358.8712166,-36.25147393828399,75.49254225296306,-1694.9022807554345,-240.82647191593367,4172.71385273874,1168.1224639327693,1.5779525775593926,-0.0142748062335358,-0.5643511278633632,-0.250667083381068
